date,fiscal_year,quarter
2021-04-01,2022,Q1
2021-05-01,2022,Q1
2021-06-01,2022,Q1
2021-07-01,2022,Q2
2021-08-01,2022,Q2
2021-09-01,2022,Q2
2021-10-01,2022,Q3
2021-11-01,2022,Q3
2021-12-01,2022,Q3
2022-01-01,2022,Q4
2022-02-01,2022,Q4
2022-03-01,2022,Q4
2022-04-01,2023,Q1
2022-05-01,2023,Q1
2022-06-01,2023,Q1
2022-07-01,2023,Q2
2022-08-01,2023,Q2
2022-09-01,2023,Q2
2022-10-01,2023,Q3
2022-11-01,2023,Q3
2022-12-01,2023,Q3
2023-01-01,2023,Q4
2023-02-01,2023,Q4
2023-03-01,2023,Q4
2023-04-01,2024,Q1
2023-05-01,2024,Q1
2023-06-01,2024,Q1
2023-07-01,2024,Q2
2023-08-01,2024,Q2
2023-09-01,2024,Q2
2023-10-01,2024,Q3
2023-11-01,2024,Q3
2023-12-01,2024,Q3
2024-01-01,2024,Q4
2024-02-01,2024,Q4
2024-03-01,2024,Q4
