date,vehicle_category,maker,electric_vehicles_sold,maker_logo,vehicle_category_logo
2021-04-01,2-Wheelers,OLA ELECTRIC,0,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Logos/White/OLA_ELECTRIC.png,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2022-04-01,2-Wheelers,OKAYA EV,0,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Logos/White/OKAYA_EV.png,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-05-01,2-Wheelers,OLA ELECTRIC,0,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Logos/White/OLA_ELECTRIC.png,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-06-01,2-Wheelers,OLA ELECTRIC,0,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Logos/White/OLA_ELECTRIC.png,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-07-01,2-Wheelers,OLA ELECTRIC,0,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Logos/White/OLA_ELECTRIC.png,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-08-01,2-Wheelers,OLA ELECTRIC,0,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Logos/White/OLA_ELECTRIC.png,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-09-01,2-Wheelers,OLA ELECTRIC,0,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Logos/White/OLA_ELECTRIC.png,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-10-01,2-Wheelers,OLA ELECTRIC,0,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Logos/White/OLA_ELECTRIC.png,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-11-01,2-Wheelers,OLA ELECTRIC,0,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Logos/White/OLA_ELECTRIC.png,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-04-01,4-Wheelers,BYD India,0,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Logos/White/BYD_INDIA.png,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
