date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,vehicle_category_logo
2021-04-01,Sikkim,2-Wheelers,0,398,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-04-01,Sikkim,4-Wheelers,0,361,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-05-01,Sikkim,2-Wheelers,0,113,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-05-01,Sikkim,4-Wheelers,0,98,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-06-01,Sikkim,2-Wheelers,0,229,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-06-01,Sikkim,4-Wheelers,0,244,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-07-01,Sikkim,2-Wheelers,0,458,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-07-01,Sikkim,4-Wheelers,0,452,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-08-01,Sikkim,2-Wheelers,0,489,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-08-01,Sikkim,4-Wheelers,0,408,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-09-01,Sikkim,2-Wheelers,0,540,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-09-01,Sikkim,4-Wheelers,0,355,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-10-01,Sikkim,2-Wheelers,0,455,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-10-01,Sikkim,4-Wheelers,0,345,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-11-01,Sikkim,2-Wheelers,0,478,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-11-01,Sikkim,4-Wheelers,0,351,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2021-12-01,Sikkim,2-Wheelers,0,454,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2021-12-01,Sikkim,4-Wheelers,0,394,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2022-01-01,Sikkim,2-Wheelers,0,400,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2022-01-01,Sikkim,4-Wheelers,0,270,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2022-02-01,Sikkim,2-Wheelers,0,384,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2022-02-01,Sikkim,4-Wheelers,0,371,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2022-03-01,Sikkim,2-Wheelers,0,460,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2022-03-01,Sikkim,4-Wheelers,0,390,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2022-04-01,Sikkim,2-Wheelers,0,455,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2022-04-01,Sikkim,4-Wheelers,0,380,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2022-05-01,Sikkim,2-Wheelers,0,461,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2022-05-01,Sikkim,4-Wheelers,0,421,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2022-06-01,Sikkim,2-Wheelers,0,429,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2022-06-01,Sikkim,4-Wheelers,0,446,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2022-07-01,Sikkim,2-Wheelers,0,409,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2022-07-01,Sikkim,4-Wheelers,0,439,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2022-08-01,Sikkim,2-Wheelers,0,394,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2022-08-01,Sikkim,4-Wheelers,0,421,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2022-09-01,Sikkim,2-Wheelers,0,443,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2022-09-01,Sikkim,4-Wheelers,0,581,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2022-10-01,Sikkim,2-Wheelers,0,371,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2022-10-01,Sikkim,4-Wheelers,0,340,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2022-11-01,Sikkim,2-Wheelers,0,431,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2022-11-01,Sikkim,4-Wheelers,0,411,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2022-12-01,Sikkim,2-Wheelers,0,274,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2022-12-01,Sikkim,4-Wheelers,0,288,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2023-01-01,Sikkim,2-Wheelers,0,470,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2023-01-01,Sikkim,4-Wheelers,0,420,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
2023-02-01,Sikkim,2-Wheelers,0,324,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/2W_White.png
2023-02-01,Sikkim,4-Wheelers,0,364,https://raw.githubusercontent.com/gentallman/EV_Sales_India/main/Assets/4W_White.png
